year,<1300cc,1300cc - 1900cc,>1900cc
2002,12336,6347,2147
2002,19604,12004,3136
2002,19426,15996,3390
2002,20611,24520,4850
2002,17780,29747,5110
2002,21152,37600,6523
2002,24436,40168,7349
2002,33769,52849,6671
2002,42487,60793,7838
2002,36978,67454,10181
2002,52127,77461,9836
2002,74281,103869,12828
2002,40382,76833,12836
2002,31624,70599,12823
2002,6068,1950,1303
2002,4011,1379,702
2002,7358,2829,1090
2002,12336,6347,2147
2002,19604,12004,3136
2002,19426,15996,3390
2002,20611,24520,4850
2002,17780,29747,5110
2002,21152,37600,6523
2002,24436,40168,7349
2002,33769,52849,6671
2002,42487,60793,7838
2002,36978,67454,10181
2002,52127,77461,9836
2002,74281,103869,12828
2002,40382,76833,12836
2002,31624,70599,12823
2002,6068,1950,1303
2002,4011,1379,702
2002,7358,2829,1090
2002,12336,6347,2147
2002,19604,12004,3136
2002,19426,15996,3390
2002,20611,24520,4850
2002,17780,29747,5110
2002,21152,37600,6523
2002,24436,40168,7349
2002,33769,52849,6671
2002,42487,60793,7838
2002,36978,67454,10181
2002,52127,77461,9836
2002,74281,103869,12828
2002,40382,76833,12836
2002,31624,70599,12823
2003,7191,2467,1563
2003,5196,2038,811
2003,9037,4631,1581
2003,15201,9165,2522
2003,15869,12823,2692
2003,16262,19110,3845
2003,15192,25240,4311
2003,19130,33997,5802
2003,23232,37824,6878
2003,32938,51282,6487
2003,42359,60366,7795
2003,37096,67691,10149
2003,52180,77635,9770
2003,73682,102462,12741
2003,40665,77086,12992
2003,32205,72347,13083
2003,29464,68187,9117
2003,7191,2467,1563
2003,5196,2038,811
2003,9037,4631,1581
2003,15201,9165,2522
2003,15869,12823,2692
2003,16262,19110,3845
2003,15192,25240,4311
2003,19130,33997,5802
2003,23232,37824,6878
2003,32938,51282,6487
2003,42359,60366,7795
2003,37096,67691,10149
2003,52180,77635,9770
2003,73682,102462,12741
2003,40665,77086,12992
2003,32205,72347,13083
2003,29464,68187,9117
2003,7191,2467,1563
2003,5196,2038,811
2003,9037,4631,1581
2003,15201,9165,2522
2003,15869,12823,2692
2003,16262,19110,3845
2003,15192,25240,4311
2003,19130,33997,5802
2003,23232,37824,6878
2003,32938,51282,6487
2003,42359,60366,7795
2003,37096,67691,10149
2003,52180,77635,9770
2003,73682,102462,12741
2003,40665,77086,12992
2003,32205,72347,13083
2003,29464,68187,9117
2003,7191,2467,1563
2003,5196,2038,811
2003,9037,4631,1581
2003,15201,9165,2522
2003,15869,12823,2692
2003,16262,19110,3845
2003,15192,25240,4311
2003,19130,33997,5802
2003,23232,37824,6878
2003,32938,51282,6487
2003,42359,60366,7795
2003,37096,67691,10149
2003,52180,77635,9770
2003,73682,102462,12741
2003,40665,77086,12992
2003,32205,72347,13083
2003,29464,68187,9117
2003,7191,2467,1563
2003,5196,2038,811
2003,9037,4631,1581
2003,15201,9165,2522
2003,15869,12823,2692
2003,16262,19110,3845
2003,15192,25240,4311
2003,19130,33997,5802
2003,23232,37824,6878
2003,32938,51282,6487
2003,42359,60366,7795
