year,<1300cc,1300cc - 1900cc,>1900cc
1988,"[29464, 32205, 40665, 73682, 52180, 37096, 42359, 32938, 23232, 19130, 15192, 16262, 15869, 15201, 9037, 5196, 7191]","[68187, 72347, 77086, 102462, 77635, 67691, 60366, 51282, 37824, 33997, 25240, 19110, 12823, 9165, 4631, 2038, 2467]","[9117, 13083, 12992, 12741, 9770, 10149, 7795, 6487, 6878, 5802, 4311, 3845, 2692, 2522, 1581, 811, 1563]"
1989,"[29464, 32205, 40665, 73682, 52180, 37096, 42359, 32938, 23232, 19130, 15192, 16262, 15869, 15201, 9037, 5196, 7191]","[68187, 72347, 77086, 102462, 77635, 67691, 60366, 51282, 37824, 33997, 25240, 19110, 12823, 9165, 4631, 2038, 2467]","[9117, 13083, 12992, 12741, 9770, 10149, 7795, 6487, 6878, 5802, 4311, 3845, 2692, 2522, 1581, 811, 1563]"
1990,"[29464, 32205, 40665, 73682, 52180, 37096, 42359, 32938, 23232, 19130, 15192, 16262, 15869, 15201, 9037, 5196, 7191]","[68187, 72347, 77086, 102462, 77635, 67691, 60366, 51282, 37824, 33997, 25240, 19110, 12823, 9165, 4631, 2038, 2467]","[9117, 13083, 12992, 12741, 9770, 10149, 7795, 6487, 6878, 5802, 4311, 3845, 2692, 2522, 1581, 811, 1563]"
1991,"[29464, 32205, 40665, 73682, 52180, 37096, 42359, 32938, 23232, 19130, 15192, 16262, 15869, 15201, 9037, 5196, 7191]","[68187, 72347, 77086, 102462, 77635, 67691, 60366, 51282, 37824, 33997, 25240, 19110, 12823, 9165, 4631, 2038, 2467]","[9117, 13083, 12992, 12741, 9770, 10149, 7795, 6487, 6878, 5802, 4311, 3845, 2692, 2522, 1581, 811, 1563]"
1992,"[29464, 32205, 40665, 73682, 52180, 37096, 42359, 32938, 23232, 19130, 15192, 16262, 15869, 15201, 9037, 5196, 7191]","[68187, 72347, 77086, 102462, 77635, 67691, 60366, 51282, 37824, 33997, 25240, 19110, 12823, 9165, 4631, 2038, 2467]","[9117, 13083, 12992, 12741, 9770, 10149, 7795, 6487, 6878, 5802, 4311, 3845, 2692, 2522, 1581, 811, 1563]"
1993,"[29464, 32205, 40665, 73682, 52180, 37096, 42359, 32938, 23232, 19130, 15192, 16262, 15869, 15201, 9037, 5196, 7191]","[68187, 72347, 77086, 102462, 77635, 67691, 60366, 51282, 37824, 33997, 25240, 19110, 12823, 9165, 4631, 2038, 2467]","[9117, 13083, 12992, 12741, 9770, 10149, 7795, 6487, 6878, 5802, 4311, 3845, 2692, 2522, 1581, 811, 1563]"
1994,"[29464, 32205, 40665, 73682, 52180, 37096, 42359, 32938, 23232, 19130, 15192, 16262, 15869, 15201, 9037, 5196, 7191]","[68187, 72347, 77086, 102462, 77635, 67691, 60366, 51282, 37824, 33997, 25240, 19110, 12823, 9165, 4631, 2038, 2467]","[9117, 13083, 12992, 12741, 9770, 10149, 7795, 6487, 6878, 5802, 4311, 3845, 2692, 2522, 1581, 811, 1563]"
1995,"[29464, 32205, 40665, 73682, 52180, 37096, 42359, 32938, 23232, 19130, 15192, 16262, 15869, 15201, 9037, 5196, 7191]","[68187, 72347, 77086, 102462, 77635, 67691, 60366, 51282, 37824, 33997, 25240, 19110, 12823, 9165, 4631, 2038, 2467]","[9117, 13083, 12992, 12741, 9770, 10149, 7795, 6487, 6878, 5802, 4311, 3845, 2692, 2522, 1581, 811, 1563]"
1996,"[29464, 32205, 40665, 73682, 52180, 37096, 42359, 32938, 23232, 19130, 15192, 16262, 15869, 15201, 9037, 5196, 7191]","[68187, 72347, 77086, 102462, 77635, 67691, 60366, 51282, 37824, 33997, 25240, 19110, 12823, 9165, 4631, 2038, 2467]","[9117, 13083, 12992, 12741, 9770, 10149, 7795, 6487, 6878, 5802, 4311, 3845, 2692, 2522, 1581, 811, 1563]"
1997,"[29464, 32205, 40665, 73682, 52180, 37096, 42359, 32938, 23232, 19130, 15192, 16262, 15869, 15201, 9037, 5196, 7191]","[68187, 72347, 77086, 102462, 77635, 67691, 60366, 51282, 37824, 33997, 25240, 19110, 12823, 9165, 4631, 2038, 2467]","[9117, 13083, 12992, 12741, 9770, 10149, 7795, 6487, 6878, 5802, 4311, 3845, 2692, 2522, 1581, 811, 1563]"
